from,to,value,type,lng1,lat1,lng2,lat2
aa,bb,1.00,move_in,116.2443656,40.07142021,113.9636426,22.54509615
aa,bb,1.00,move_in,121.128778,31.29539861,113.9573662,22.55940687
aa,bb,1.00,move_in,116.5130501,39.80876476,113.9491956,22.57317588
aa,bb,1.00,move_in,113.9600363,22.53463313,113.9574195,22.58193976
aa,bb,1.00,move_in,120.0257874,30.288275,114.3880174,22.72741152
aa,bb,1.00,move_in,113.9462958,22.53113144,113.9462958,22.53113144
aa,bb,1.00,move_in,114.0472766,22.56934042,113.9528846,22.53924301
aa,bb,1.00,move_in,113.8820765,22.61341979,113.8950964,22.55267452
aa,bb,1.00,move_in,114.031645,22.54354183,114.031645,22.54354183
aa,bb,1.00,move_in,114.0523628,22.54617413,114.1082458,22.57001381
aa,bb,1.00,move_in,113.9143966,22.55717786,113.9143966,22.55717786
aa,bb,1.00,move_in,114.0472766,22.56934042,114.0472766,22.56934042
aa,bb,1.00,move_in,113.9560806,22.55680822,113.9560806,22.55680822
aa,bb,1.00,move_in,114.0382415,22.63207257,114.0460827,22.62862633
aa,bb,1.00,move_in,113.5549619,22.11917602,114.0460827,22.62862633
aa,bb,1.00,move_in,113.9097928,22.52112796,113.9990951,22.69105636
aa,bb,1.00,move_in,113.9556521,22.54346232,114.034072,22.66363571
aa,bb,1.00,move_in,114.0776771,22.5475994,113.9468651,22.55101383
aa,bb,1.00,move_in,113.9298168,22.5280568,113.9468651,22.55101383
aa,bb,1.00,move_in,114.1193145,22.5707116,113.9468651,22.55101383
aa,bb,1.00,move_in,113.9880984,22.55701039,113.9541492,22.54011613
aa,bb,1.00,move_in,113.9549096,22.53659042,113.9549096,22.53659042
aa,bb,1.00,move_in,113.3472525,22.5283285,114.038513,22.54033904
aa,bb,1.00,move_in,113.9097928,22.52112796,113.9242512,22.4974545
aa,bb,1.00,move_in,121.4113122,31.8682545,114.0159447,22.679945
aa,bb,1.00,move_in,113.9529114,22.74368437,113.9300131,22.70743279
aa,bb,1.00,move_in,116.3219092,39.967094,113.9473483,22.52944294
aa,bb,1.00,move_in,113.9393829,22.54620353,113.9393829,22.54620353
aa,bb,1.00,move_in,114.0523628,22.54617413,113.9510743,22.55464354
aa,bb,1.00,move_in,121.4113122,31.8682545,113.9510743,22.55464354
aa,bb,1.00,move_in,121.9873607,29.77772714,113.9344816,22.51948156
aa,bb,1.00,move_in,114.0149525,22.64206129,114.0149525,22.64206129
aa,bb,1.00,move_in,114.3058233,22.60498692,113.9090641,22.80273096
aa,bb,1.00,move_in,113.9097928,22.52112796,114.2879454,22.69244812
aa,bb,1.00,move_in,114.0648292,22.53933891,114.0555928,22.55173057
aa,bb,1.00,move_in,114.0472766,22.56934042,114.0472766,22.56934042
aa,bb,1.00,move_in,113.9544026,22.55644442,113.9544026,22.55644442
aa,bb,1.00,move_in,113.863931,22.57916697,113.8430342,22.80553805
aa,bb,1.00,move_in,114.0514518,22.67968798,114.0514518,22.67968798
aa,bb,1.00,move_in,113.906021,22.52773354,113.9507227,22.55888775
aa,bb,1.00,move_in,114.0999104,22.55019837,113.9097928,22.52112796
aa,bb,1.00,move_in,113.9966219,22.53233413,113.8041146,22.74760752
aa,bb,1.00,move_in,104.6764437,31.50234068,113.9237575,22.73293132
aa,bb,1.00,move_in,121.6078517,31.34693216,113.9510743,22.55464354
aa,bb,1.00,move_in,113.8831553,22.76356453,113.8325796,22.70083215
aa,bb,1.00,move_in,113.9097928,22.52112796,114.011058,22.60127082
aa,bb,1.00,move_in,114.0363909,22.54169795,114.011058,22.60127082
aa,bb,1.00,move_in,120.2032975,30.23658597,114.011058,22.60127082
aa,bb,1.00,move_in,121.8894189,29.86833232,114.011058,22.60127082
aa,bb,1.00,move_in,113.5549619,22.11917602,114.011058,22.60127082
aa,bb,1.00,move_in,114.0000933,22.59635916,113.9734481,22.57411171
aa,bb,1.00,move_in,113.9570894,22.5596193,113.958178,22.56050517
aa,bb,1.00,move_in,87.56498774,43.84038035,113.9507227,22.55888775
aa,bb,1.00,move_in,114.1263654,22.71412624,114.0414319,22.71641615
aa,bb,1.00,move_in,116.6260073,39.8957942,114.0726641,22.60925549
aa,bb,1.00,move_in,114.0526458,22.60836811,114.0726641,22.60925549
aa,bb,1.00,move_in,114.0288249,22.6638078,114.0063213,22.69581385
aa,bb,1.00,move_in,113.9250646,22.49936553,113.9235827,22.49196124
aa,bb,1.00,move_in,113.8648347,22.59238852,113.9467842,22.55604732
aa,bb,1.00,move_in,113.3725863,23.12849696,114.0333024,22.54149978
aa,bb,1.00,move_in,102.6687641,25.05444332,114.0333024,22.54149978
aa,bb,1.00,move_in,114.0695,22.5208825,113.9507227,22.55888775
