from,to,value,type,lng1,lat1,lng2,lat2
aa,bb,1.00,move_out,113.9412047,22.64073198,75.94261979,39.61429605
aa,bb,1.00,move_out,113.9331069,22.57797047,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9351354,22.53122051,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9375544,22.5922987,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9394083,22.54713413,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9432029,22.54929155,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9451005,22.53023344,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9454587,22.54674318,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9456573,22.52880442,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9516028,22.53342523,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9516232,22.53487992,76.0143428,39.51311059
aa,bb,1.00,move_out,113.960299,22.537972,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9936295,22.55305146,76.0143428,39.51311059
aa,bb,1.00,move_out,114.0383905,22.53582234,76.0143428,39.51311059
aa,bb,1.00,move_out,114.0939515,22.54713561,76.0143428,39.51311059
aa,bb,1.00,move_out,114.383097,22.73496323,76.0143428,39.51311059
aa,bb,1.00,move_out,113.9519422,22.54408318,77.01483316,38.32258784
aa,bb,1.00,move_out,113.960299,22.537972,79.07736132,39.87822011
aa,bb,1.00,move_out,114.0504279,22.52366491,79.13771471,40.37084137
aa,bb,1.00,move_out,114.3476957,22.65746229,79.92026134,37.12346551
aa,bb,1.00,move_out,114.0383905,22.53582234,80.41210965,44.21913409
aa,bb,1.00,move_out,113.9097928,22.52112796,80.41782701,44.20753753
aa,bb,1.00,move_out,113.931773,22.58175961,80.41805204,44.20901314
aa,bb,1.00,move_out,113.9487563,22.55443829,80.41818273,44.21753143
aa,bb,1.00,move_out,113.9277041,22.50905478,80.41899647,44.21081831
aa,bb,1.00,move_out,113.9487563,22.55443829,80.41899647,44.21081831
aa,bb,1.00,move_out,113.9592065,22.53396902,80.41899647,44.21081831
aa,bb,1.00,move_out,113.9507227,22.55888775,80.42351856,44.21244742
aa,bb,1.00,move_out,113.9511341,22.55361566,80.42373463,44.21306992
aa,bb,1.00,move_out,113.9511341,22.55361566,80.42373463,44.21306992
aa,bb,1.00,move_out,113.9511341,22.55361566,80.42373463,44.21306992
aa,bb,1.00,move_out,113.9556886,22.54054383,80.42373463,44.21306992
aa,bb,1.00,move_out,114.0472766,22.56934042,80.42373463,44.21306992
aa,bb,1.00,move_out,114.0511117,22.52308466,80.42373463,44.21306992
aa,bb,1.00,move_out,113.8427942,22.59808042,80.42463114,44.21193016
aa,bb,1.00,move_out,114.1244671,22.54736992,80.42497815,44.21008605
aa,bb,1.00,move_out,113.9511341,22.55361566,80.42531403,44.20244215
aa,bb,1.00,move_out,113.9224542,22.54681198,80.42553753,44.18070419
aa,bb,1.00,move_out,113.9482187,22.54620279,80.42559854,44.20998481
aa,bb,1.00,move_out,114.0598777,22.63995083,80.42612744,44.20505286
aa,bb,1.00,move_out,113.9097928,22.52112796,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9278502,22.52270782,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9283529,22.58354719,80.47215139,44.45251977
aa,bb,1.00,move_out,113.933543,22.52218159,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9487563,22.55443829,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9501823,22.55398396,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9507227,22.55888775,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9511341,22.55361566,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9516232,22.53487992,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9541852,22.55170452,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9556369,22.54703416,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9582509,22.54495204,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9602561,22.54145397,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9606378,22.53673478,80.47215139,44.45251977
aa,bb,1.00,move_out,114.0385406,22.53595239,80.47215139,44.45251977
aa,bb,1.00,move_out,114.0401325,22.62623549,80.47215139,44.45251977
aa,bb,1.00,move_out,114.0465859,22.55199972,80.47215139,44.45251977
aa,bb,1.00,move_out,114.0555928,22.55173057,80.47215139,44.45251977
aa,bb,1.00,move_out,114.0707794,22.67989758,80.47215139,44.45251977
aa,bb,1.00,move_out,114.1008692,22.54675984,80.47215139,44.45251977
aa,bb,1.00,move_out,114.2230713,22.7269464,80.47215139,44.45251977
aa,bb,1.00,move_out,114.3476957,22.65746229,80.47215139,44.45251977
aa,bb,1.00,move_out,113.9471796,22.55479505,80.75014202,44.19397407
aa,bb,1.00,move_out,113.7975371,22.68244192,81.15601315,40.3494443
aa,bb,1.00,move_out,113.8957477,22.60506553,81.15601315,40.3494443
aa,bb,1.00,move_out,113.9630508,22.54370668,81.15601315,40.3494443
aa,bb,1.00,move_out,114.3476957,22.65746229,81.15601315,40.3494443
aa,bb,1.00,move_out,113.9493856,22.54123288,81.28904807,44.02035582
aa,bb,1.00,move_out,113.957596,22.55907943,82.06813946,44.90126799
aa,bb,1.00,move_out,113.957596,22.55907943,82.06813946,44.90126799
aa,bb,1.00,move_out,113.957596,22.55907943,82.23382952,43.4911895
aa,bb,1.00,move_out,113.9519422,22.54408318,84.27787827,44.4076875
aa,bb,1.00,move_out,114.1370061,22.65920941,84.68699434,44.4378513
aa,bb,1.00,move_out,113.9256272,22.51462746,84.92120573,45.59015858
aa,bb,1.00,move_out,114.0518028,22.52334159,84.92698963,45.20391925
aa,bb,1.00,move_out,114.1014688,22.55026025,84.94872798,44.41506728
aa,bb,1.00,move_out,113.9352892,22.54653742,85.05257266,45.62794295
aa,bb,1.00,move_out,113.9507227,22.55888775,85.17782851,45.63360243
aa,bb,1.00,move_out,114.0626723,22.51218111,85.47487407,44.35374463
aa,bb,1.00,move_out,113.9519422,22.54408318,85.73903518,46.79994273
aa,bb,1.00,move_out,113.9493953,22.55643653,86.04186492,44.30825898
aa,bb,1.00,move_out,114.2801097,22.69288733,86.04186492,44.30825898
aa,bb,1.00,move_out,113.8458235,22.68193883,86.22951321,41.71760913
aa,bb,1.00,move_out,114.0504279,22.52366491,86.22951321,41.71760913
aa,bb,1.00,move_out,114.0661347,22.61059702,87.07361805,44.17508345
aa,bb,1.00,move_out,114.2801097,22.69288733,87.21575403,44.03319442
aa,bb,1.00,move_out,114.0555928,22.55173057,87.30610879,44.02978166
aa,bb,1.00,move_out,114.2801097,22.69288733,87.38800619,43.89934315
aa,bb,1.00,move_out,114.0641897,22.51781326,87.41593838,43.47707674
aa,bb,1.00,move_out,114.0504279,22.52366491,87.52652454,43.8851366
aa,bb,1.00,move_out,113.960299,22.537972,87.53053215,43.88634696
aa,bb,1.00,move_out,114.0107195,22.59927927,87.53360437,43.86352713
aa,bb,1.00,move_out,113.9576268,22.55616403,87.53500397,43.8812968
